name,album,popularity,artist,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Heirloom,Vespertine,40,Björk,icelandic singer-songwriter,2001,0.577,0.373,7,-11.618,0,0.0475,0.276,0.00565,0.0786,0.504,179.796,audio_features,7gEek3CpEPj4mMTzZP1Y1z,spotify:track:7gEek3CpEPj4mMTzZP1Y1z,https://api.spotify.com/v1/tracks/7gEek3CpEPj4mMTzZP1Y1z,https://api.spotify.com/v1/audio-analysis/7gEek3CpEPj4mMTzZP1Y1z,312040,4
Harm Of Will,Vespertine,38,Björk,icelandic pop,2001,0.15,0.143,10,-16.217,0,0.0338,0.969,0.00493,0.0865,0.073,83.646,audio_features,5qYM1ZFSyzbune3bC9xUyK,spotify:track:5qYM1ZFSyzbune3bC9xUyK,https://api.spotify.com/v1/tracks/5qYM1ZFSyzbune3bC9xUyK,https://api.spotify.com/v1/audio-analysis/5qYM1ZFSyzbune3bC9xUyK,276960,4
Unison,Vespertine,44,Björk,icelandic pop,2001,0.52,0.508,5,-10.986,1,0.0489,0.392,0.0424,0.203,0.207,147.935,audio_features,3uy1oSp8SAhV5WJfW35oov,spotify:track:3uy1oSp8SAhV5WJfW35oov,https://api.spotify.com/v1/tracks/3uy1oSp8SAhV5WJfW35oov,https://api.spotify.com/v1/audio-analysis/3uy1oSp8SAhV5WJfW35oov,407600,4
Pleasure Is All Mine,Medúlla,35,Björk,metropopolis,2004,0.22,0.312,5,-13.694,0,0.0386,0.918,0.000813,0.0744,0.037,126.318,audio_features,1zgrxOZxhGmpK4ObCVJRAG,spotify:track:1zgrxOZxhGmpK4ObCVJRAG,https://api.spotify.com/v1/tracks/1zgrxOZxhGmpK4ObCVJRAG,https://api.spotify.com/v1/audio-analysis/1zgrxOZxhGmpK4ObCVJRAG,206773,3
Show Me Forgiveness,Medúlla,29,Björk,icelandic pop,2004,0.508,0.0255,2,-19.629,1,0.0469,0.906,0,0.185,0.541,129.839,audio_features,0MelkTJRCIIFGITYlsvajz,spotify:track:0MelkTJRCIIFGITYlsvajz,https://api.spotify.com/v1/tracks/0MelkTJRCIIFGITYlsvajz,https://api.spotify.com/v1/audio-analysis/0MelkTJRCIIFGITYlsvajz,83827,4
Where Is The Line,Medúlla,34,Björk,icelandic singer-songwriter,2004,0.403,0.693,2,-9.472,1,0.212,0.559,0.0134,0.185,0.25,80.036,audio_features,6b7MeZUEaRBLix7nfl3aRQ,spotify:track:6b7MeZUEaRBLix7nfl3aRQ,https://api.spotify.com/v1/tracks/6b7MeZUEaRBLix7nfl3aRQ,https://api.spotify.com/v1/audio-analysis/6b7MeZUEaRBLix7nfl3aRQ,281200,4
Vokuro,Medúlla,31,Björk,trip hop,2004,0.311,0.0845,11,-15.842,0,0.0359,0.952,0,0.103,0.197,129.85,audio_features,588enFce7wlR7Es4a6tgMF,spotify:track:588enFce7wlR7Es4a6tgMF,https://api.spotify.com/v1/tracks/588enFce7wlR7Es4a6tgMF,https://api.spotify.com/v1/audio-analysis/588enFce7wlR7Es4a6tgMF,194040,4
Oll Birtan,Medúlla,27,Björk,electronica,2004,0.33,0.0842,7,-12.636,0,0.052,0.889,0,0.341,0.549,72.525,audio_features,6dNfyzU6tQ9ujJuHYpIGF2,spotify:track:6dNfyzU6tQ9ujJuHYpIGF2,https://api.spotify.com/v1/tracks/6dNfyzU6tQ9ujJuHYpIGF2,https://api.spotify.com/v1/audio-analysis/6dNfyzU6tQ9ujJuHYpIGF2,112080,4
"Who Is It (Carry My Joy On The Left, Carry My Pain On The Right)",Medúlla,34,Björk,permanent wave,2004,0.528,0.735,8,-7.462,1,0.282,0.231,1.9e-05,0.33,0.131,92.567,audio_features,0LyiKRBtKkIaTZKXBcDyb3,spotify:track:0LyiKRBtKkIaTZKXBcDyb3,https://api.spotify.com/v1/tracks/0LyiKRBtKkIaTZKXBcDyb3,https://api.spotify.com/v1/audio-analysis/0LyiKRBtKkIaTZKXBcDyb3,237347,4
Submarine,Medúlla,28,Björk,icelandic experimental,2004,0.218,0.148,10,-13.466,1,0.0305,0.918,4.42e-06,0.126,0.0371,90.252,audio_features,2fJdzOCzX2dCr63nd7PB8H,spotify:track:2fJdzOCzX2dCr63nd7PB8H,https://api.spotify.com/v1/tracks/2fJdzOCzX2dCr63nd7PB8H,https://api.spotify.com/v1/audio-analysis/2fJdzOCzX2dCr63nd7PB8H,193653,5
Desired Constellation,Medúlla,32,Björk,permanent wave,2004,0.279,0.0853,8,-16.934,0,0.0361,0.851,0.000105,0.105,0.106,109.428,audio_features,524eqsMX5luvtynZxCJll8,spotify:track:524eqsMX5luvtynZxCJll8,https://api.spotify.com/v1/tracks/524eqsMX5luvtynZxCJll8,https://api.spotify.com/v1/audio-analysis/524eqsMX5luvtynZxCJll8,295533,3
Oceania,Medúlla,41,Björk,electronica,2004,0.449,0.598,5,-8.365,0,0.162,0.475,0,0.237,0.489,200.191,audio_features,4aQGlcbxrtsDRo8JvMUDC5,spotify:track:4aQGlcbxrtsDRo8JvMUDC5,https://api.spotify.com/v1/tracks/4aQGlcbxrtsDRo8JvMUDC5,https://api.spotify.com/v1/audio-analysis/4aQGlcbxrtsDRo8JvMUDC5,204853,4
Sonnets / Unrealities XI,Medúlla,28,Björk,electronica,2004,0.432,0.0956,7,-13.877,1,0.0434,0.832,0,0.237,0.358,78.93,audio_features,2nwi41cyLLY2vVPEdPb2IF,spotify:track:2nwi41cyLLY2vVPEdPb2IF,https://api.spotify.com/v1/tracks/2nwi41cyLLY2vVPEdPb2IF,https://api.spotify.com/v1/audio-analysis/2nwi41cyLLY2vVPEdPb2IF,119560,3
Ancestors,Medúlla,27,Björk,icelandic singer-songwriter,2004,0.285,0.257,9,-13.315,0,0.0367,0.954,0.000502,0.316,0.0928,113.305,audio_features,3SVoUKQe4TooTQ67NPbttk,spotify:track:3SVoUKQe4TooTQ67NPbttk,https://api.spotify.com/v1/tracks/3SVoUKQe4TooTQ67NPbttk,https://api.spotify.com/v1/audio-analysis/3SVoUKQe4TooTQ67NPbttk,248347,4
Mouths Cradle,Medúlla,31,Björk,trip hop,2004,0.336,0.53,1,-9.009,1,0.047,0.681,4.31e-05,0.161,0.358,79.941,audio_features,26vSSN5zCR4gmX6DMxxjZI,spotify:track:26vSSN5zCR4gmX6DMxxjZI,https://api.spotify.com/v1/tracks/26vSSN5zCR4gmX6DMxxjZI,https://api.spotify.com/v1/audio-analysis/26vSSN5zCR4gmX6DMxxjZI,239827,4
Midvikudags,Medúlla,26,Björk,experimental vocal,2004,0.244,0.407,2,-11.198,1,0.0369,0.89,0.00118,0.0843,0.203,84.442,audio_features,40W0Fr6AtTR03XAoma2Rf5,spotify:track:40W0Fr6AtTR03XAoma2Rf5,https://api.spotify.com/v1/tracks/40W0Fr6AtTR03XAoma2Rf5,https://api.spotify.com/v1/audio-analysis/40W0Fr6AtTR03XAoma2Rf5,84693,4
Triumph Of A Heart,Medúlla,36,Björk,icelandic experimental,2004,0.732,0.9,11,-7.012,0,0.101,0.5,0.000904,0.164,0.583,120.011,audio_features,2ZJdtalkNonRqukSTaYTf9,spotify:track:2ZJdtalkNonRqukSTaYTf9,https://api.spotify.com/v1/tracks/2ZJdtalkNonRqukSTaYTf9,https://api.spotify.com/v1/audio-analysis/2ZJdtalkNonRqukSTaYTf9,244213,4
Earth Intruders,Volta,36,Björk,icelandic experimental,2007,0.622,0.949,1,-7.825,1,0.274,0.408,0.00214,0.326,0.168,109.001,audio_features,7sGVR4Dw1DBl5oN9srSOsG,spotify:track:7sGVR4Dw1DBl5oN9srSOsG,https://api.spotify.com/v1/tracks/7sGVR4Dw1DBl5oN9srSOsG,https://api.spotify.com/v1/audio-analysis/7sGVR4Dw1DBl5oN9srSOsG,373853,4
Wanderlust,Volta,34,Björk,trip hop,2007,0.477,0.832,1,-7.289,1,0.0744,0.539,3e-05,0.107,0.16,130.092,audio_features,5mhcpeN6WloYolIWEqrpUg,spotify:track:5mhcpeN6WloYolIWEqrpUg,https://api.spotify.com/v1/tracks/5mhcpeN6WloYolIWEqrpUg,https://api.spotify.com/v1/audio-analysis/5mhcpeN6WloYolIWEqrpUg,351013,4
The Dull Flame Of Desire,Volta,33,Björk,icelandic pop,2007,0.535,0.533,2,-10.133,0,0.081,0.784,2.35e-05,0.114,0.209,130.079,audio_features,477O8tot5EEHg3CUxx2FG3,spotify:track:477O8tot5EEHg3CUxx2FG3,https://api.spotify.com/v1/tracks/477O8tot5EEHg3CUxx2FG3,https://api.spotify.com/v1/audio-analysis/477O8tot5EEHg3CUxx2FG3,450200,3
Innocence,Volta,33,Björk,icelandic experimental,2007,0.43,0.69,2,-6.093,1,0.38,0.56,0,0.0775,0.434,87.161,audio_features,6pZdrFTQD0HWVlNYS6uKnh,spotify:track:6pZdrFTQD0HWVlNYS6uKnh,https://api.spotify.com/v1/tracks/6pZdrFTQD0HWVlNYS6uKnh,https://api.spotify.com/v1/audio-analysis/6pZdrFTQD0HWVlNYS6uKnh,267040,3
I See Who You Are,Volta,30,Björk,permanent wave,2007,0.452,0.23,0,-11.332,0,0.0304,0.722,0.00132,0.604,0.148,105.052,audio_features,7iLlRu08U25QjBL4JVHIlT,spotify:track:7iLlRu08U25QjBL4JVHIlT,https://api.spotify.com/v1/tracks/7iLlRu08U25QjBL4JVHIlT,https://api.spotify.com/v1/audio-analysis/7iLlRu08U25QjBL4JVHIlT,262107,4
